name	pfam_id	chrom	chromStart	chromEnd	all_cosmic	pval
MBOAT	PF03062	chr1	210560833	210796951	20	0.000393708410902564
MBOAT	PF03062	chr1	210573911	210796951	20	0.000393708410902564
MBOAT	PF03062	chr1	210591510	210796951	20	0.000393708410902564
MBOAT	PF03062	chr1	210637923	210796951	20	0.000393708410902564
bZIP_1	PF00170	chr1	212860224	212870400	7	1.82240333218664e-05
bZIP_2	PF07716	chr1	212860254	212870400	62	32.0702793854533
fn3	PF00041	chr1	215990460	216011375	610	0.00823877791258101
tRNA-synt_1c	PF00749	chr1	220184385	220203761	8	0.000393708410902564
tRNA-synt_1c	PF00749	chr1	220191478	220203761	8	0.000393708410902564
S-methyl_trans	PF02574	chr1	236966781	236992514	19	0.200926939077681
DEP	PF00610	chr1	241033416	241262031	15	0.00127894245878223
DEP	PF00610	chr1	241094052	241262031	15	0.00127894245878223
7tm_1	PF00001	chr1	248512191	248512941	53	1.43145332025962e-07
AAA	PF00004	chr1	1421993	1444600	16	2.27964843259768e-06
Pkinase	PF00069	chr1	1571402	1573909	283	2.27964843259768e-06
Pkinase	PF00069	chr1	1571417	1573924	283	2.27964843259768e-06
Pkinase	PF00069	chr1	1571423	1573930	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	1572099	1573885	1522	3.41277051625166
Pkinase_Tyr	PF07714	chr1	1572114	1573900	1522	3.41277051625166
Pkinase_Tyr	PF07714	chr1	1572120	1573906	1522	3.41277051625166
TNFR_c6	PF00020	chr1	2489835	2491315	10	0.000393708410902564
TIG	PF01833	chr1	7725224	7737739	45	0.00823877791258101
PAS_3	PF08447	chr1	7861232	7868960	7	0.0325964095227795
Myb_DNA-binding	PF00249	chr1	8426000	8526010	8	0.00127894245878223
7tm_2	PF00002	chr1	9171423	9188812	29	2.27964843259768e-06
G6PD_N	PF00479	chr1	9305078	9307031	3	9.75580331032108e-05
Pex14_N	PF04695	chr1	10555364	10683097	7	20.3414885097763
Pex14_N	PF04695	chr1	10555364	10678391	7	20.3414885097763
AGTRAP	PF06396	chr1	11796266	11805893	3	0.200926939077681
AGTRAP	PF06396	chr1	11796266	11810247	3	0.200926939077681
AGTRAP	PF06396	chr1	11796266	11810247	3	0.200926939077681
Dynamin_N	PF00350	chr1	12052731	12059114	12	1.82240333218664e-05
Abhydrolase_3	PF07859	chr1	12711316	12726270	20	0.0565734645986981
FHA	PF00498	chr1	15578332	15598981	6	2.27964843259768e-06
DnaJ	PF00226	chr1	15855685	15863006	12	1.82240333218664e-05
ShK	PF01549	chr1	17301416	17301509	2	20.9824035523349
PAD_N	PF08526	chr1	17429487	17445865	9	0.200926939077681
PAD	PF03068	chr1	17555443	17570736	30	0.372361329399178
ig	PF00047	chr1	18554436	18661435	9	1.82240333218664e-05
F_actin_cap_B	PF01115	chr1	19666034	19811931	5	0.00127894245878223
F_actin_cap_B	PF01115	chr1	19669281	19811931	5	0.00127894245878223
DUF726	PF05277	chr1	20009873	20067428	8	1.73299008473053
DUF726	PF05277	chr1	20009873	20073715	8	1.73299008473053
Alk_phosphatase	PF00245	chr1	21887190	21903050	28	0.278450517967822
Alk_phosphatase	PF00245	chr1	21887223	21903050	28	0.278450517967822
Alk_phosphatase	PF00245	chr1	21887631	21903050	28	0.278450517967822
Ras	PF00071	chr1	22404984	22417969	30319	300
Ras	PF00071	chr1	22404984	22416484	30319	300
Ras	PF00071	chr1	22404984	22413359	30319	300
Ras	PF00071	chr1	22408215	22417969	30319	300
Ras	PF00071	chr1	22412934	22417969	30319	300
TFIIS_M	PF07500	chr1	23713839	23724344	11	0.00348887616987592
Ammonium_transp	PF00909	chr1	25689031	25712268	23	0.000393708410902564
Ammonium_transp	PF00909	chr1	25689031	25747234	23	0.000393708410902564
Ammonium_transp	PF00909	chr1	25689031	25735354	23	0.000393708410902564
Glyco_hydro_47	PF01532	chr1	26012931	26110239	18	9.75580331032108e-05
CSD	PF00313	chr1	26737969	26751902	21	0.278450517967822
DUF778	PF05608	chr1	27648818	27661946	3	0.000393708410902564
RRM_1	PF00076	chr1	29486934	29508254	34	1.43145332025962e-07
Hist_deacetyl	PF00850	chr1	32757798	32796494	30	9.75580331032108e-05
Hist_deacetyl	PF00850	chr1	32757798	32793279	30	9.75580331032108e-05
IBR	PF01485	chr1	33415256	33429730	13	0.00127894245878223
SCAN	PF02023	chr1	33945022	33954068	13	1.82240333218664e-05
CUB	PF00431	chr1	34076643	34080214	221	0.00823877791258101
CUB	PF00431	chr1	34312487	34383890	221	0.00823877791258101
Proteasome	PF00227	chr1	36043089	36107029	20	1.82240333218664e-05
Piwi	PF02171	chr1	36299736	36316638	26	0.372361329399178
ANF_receptor	PF01094	chr1	37319229	37356649	49	1.82240333218664e-05
Sua5_yciO_yrdC	PF01300	chr1	38269974	38273632	1	0.00127894245878223
CH	PF00307	chr1	39696868	39747880	24	2.27964843259768e-06
TGFb_propeptide	PF00688	chr1	39957742	39987131	30	9.75580331032108e-05
TGFb_propeptide	PF00688	chr1	40230405	40254078	30	9.75580331032108e-05
TGFb_propeptide	PF00688	chr1	40230677	40254078	30	9.75580331032108e-05
MBT	PF02820	chr1	41541120	41579158	24	0.0172418496560161
MBT	PF02820	chr1	41541120	41608747	24	0.0172418496560161
Fork_head	PF00250	chr1	42693615	42744155	13	2.27964843259768e-06
fn3	PF00041	chr1	43777981	43778242	610	0.00823877791258101
Pkinase	PF00069	chr1	45811617	45923273	283	2.27964843259768e-06
Pkinase	PF00069	chr1	45811617	45887487	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	45812691	45923273	1522	3.41277051625166
Pkinase_Tyr	PF07714	chr1	45812691	45887484	1522	3.41277051625166
Pkinase	PF00069	chr1	45812703	45923273	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	45864650	45923273	1522	3.41277051625166
Pkinase	PF00069	chr1	45864650	45923273	283	2.27964843259768e-06
p450	PF00067	chr1	47533301	47583589	49	2.27964843259768e-06
Peptidase_M14	PF00246	chr1	49005401	49119045	29	1.82240333218664e-05
PH	PF00169	chr1	52082789	52179731	284	0.00823877791258101
PH	PF00169	chr1	52135106	52179731	284	0.00823877791258101
Peptidase_M16	PF00675	chr1	52290982	52305932	11	0.000393708410902564
Peptidase_M16	PF00675	chr1	52290982	52301883	11	0.000393708410902564
Peptidase_M16	PF00675	chr1	52290982	52299842	11	0.000393708410902564
zf-C2H2	PF00096	chr1	53995561	54059791	38	1.82240333218664e-05
SSDP	PF04503	chr1	54694459	54867571	15	0.00823877791258101
SSDP	PF04503	chr1	54694459	54867571	15	0.00823877791258101
SSDP	PF04503	chr1	54723743	54867571	15	0.00823877791258101
Pkinase	PF00069	chr1	57111106	57169660	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	57111106	57161615	1522	3.41277051625166
MACPF	PF01823	chr1	57399064	57411733	22	0.0565734645986981
PID	PF00640	chr1	57528615	57611045	15	2.27964843259768e-06
PID	PF00640	chr1	57537247	57611045	15	2.27964843259768e-06
Peptidase_M48	PF01435	chr1	58971733	58992988	9	0.138968050866263
FGGY_C	PF02782	chr1	60132961	60228185	18	0.0913798565675432
HOOK	PF05622	chr1	60280802	60338635	32	0.00823877791258101
HOOK	PF05622	chr1	60287593	60338635	32	0.00823877791258101
PDZ	PF00595	chr1	62257044	62263049	46	2.27964843259768e-06
PGM_PMM_I	PF02878	chr1	64059199	64095678	5	0.000393708410902564
PGM_PMM_I	PF02878	chr1	64089225	64095678	5	0.000393708410902564
ADK	PF00406	chr1	65614118	65691759	21	0.00348887616987592
ADK	PF00406	chr1	65656404	65691759	21	0.00348887616987592
I-set	PF07679	chr1	72163729	72241974	956	0.0565734645986981
ig	PF00047	chr1	72163741	72241932	9	1.82240333218664e-05
ig	PF00047	chr1	72400809	72748020	9	1.82240333218664e-05
Pkinase_Tyr	PF07714	chr1	74834771	74954909	1522	3.41277051625166
Pkinase_Tyr	PF07714	chr1	74834771	74929127	1522	3.41277051625166
Pkinase	PF00069	chr1	74834771	74905297	283	2.27964843259768e-06
MutS_III	PF05192	chr1	76282161	76347046	19	0.00823877791258101
Glyco_transf_29	PF00777	chr1	76877708	77094441	32	9.75580331032108e-05
Glyco_transf_29	PF00777	chr1	77334416	77528802	32	9.75580331032108e-05
ADK	PF00406	chr1	77952031	78001715	21	0.00348887616987592
7tm_2	PF00002	chr1	82434880	82450270	29	2.27964843259768e-06
7tm_2	PF00002	chr1	82436058	82447660	29	2.27964843259768e-06
TTL	PF03133	chr1	84387048	84415570	23	1.82240333218664e-05
Pkinase	PF00069	chr1	84647904	84679965	283	2.27964843259768e-06
Pkinase	PF00069	chr1	84650783	84679965	283	2.27964843259768e-06
SAM_1	PF00536	chr1	84791351	84815419	17	1.82240333218664e-05
7tm_1	PF00001	chr1	85279710	85331664	53	1.43145332025962e-07
Amidinotransf	PF02274	chr1	85787148	85930706	7	0.00127894245878223
Collagen	PF01391	chr1	86211188	86249204	88	2.27964843259768e-06
Collagen	PF01391	chr1	86241361	86249213	88	2.27964843259768e-06
Collagen	PF01391	chr1	86499578	86524811	88	2.27964843259768e-06
VWA	PF00092	chr1	86900390	86907179	119	0.000393708410902564
GBP_C	PF02841	chr1	89519075	89523698	24	0.00823877791258101
GBP_C	PF02841	chr1	89651076	89656967	24	0.00823877791258101
FCH	PF00611	chr1	93913839	93988986	5	2.27964843259768e-06
DHO_dh	PF01180	chr1	97658731	97839190	24	7.24324795024586
Pyr_redox_2	PF07992	chr1	98015177	98165021	30	9.75580331032108e-05
MFS_1	PF07690	chr1	100515498	100546132	33	1.43145332025962e-07
Collagen	PF01391	chr1	103405980	103427474	88	2.27964843259768e-06
RRM_1	PF00076	chr1	104068777	104076412	34	1.43145332025962e-07
Alpha-amylase	PF00128	chr1	104199028	104205527	21	0.00348887616987592
PH	PF00169	chr1	108247678	108293796	284	0.00823877791258101
CH	PF00307	chr1	108322074	108507487	24	2.27964843259768e-06
Sec1	PF00995	chr1	109294923	109319049	30	0.000393708410902564
Sec1	PF00995	chr1	109294923	109351449	30	0.000393708410902564
I-set	PF07679	chr1	109837735	109838941	956	0.0565734645986981
ig	PF00047	chr1	109837780	109838899	9	1.82240333218664e-05
GST_N	PF02798	chr1	110230502	110231739	5	1.82240333218664e-05
Ion_trans_2	PF07885	chr1	112329609	112524369	13	9.75580331032108e-05
Ion_trans	PF00520	chr1	112329627	112524666	103	2.27964843259768e-06
ST7	PF04184	chr1	113068726	113126746	23	9.75580331032108e-05
ST7	PF04184	chr1	113068726	113121039	23	9.75580331032108e-05
ST7	PF04184	chr1	113068726	113161605	23	9.75580331032108e-05
ST7	PF04184	chr1	113068726	113159466	23	9.75580331032108e-05
ST7	PF04184	chr1	113068726	113140664	23	9.75580331032108e-05
ST7	PF04184	chr1	113084571	113161605	23	9.75580331032108e-05
ST7	PF04184	chr1	113084571	113159514	23	9.75580331032108e-05
ST7	PF04184	chr1	113084571	113159466	23	9.75580331032108e-05
ST7	PF04184	chr1	113084706	113161605	23	9.75580331032108e-05
ST7	PF04184	chr1	113093308	113159466	23	9.75580331032108e-05
SCP-1	PF05483	chr1	115398167	115520232	39	2.23489785562405
SCP-1	PF05483	chr1	115398167	115520181	39	2.23489785562405
Tetraspannin	PF00335	chr1	115593175	115632025	14	1.43145332025962e-07
Tetraspannin	PF00335	chr1	115600213	115632025	14	1.43145332025962e-07
Calsequestrin	PF01216	chr1	116243917	116275592	15	0.611100783991512
Calsequestrin	PF01216	chr1	116243917	116311158	15	0.611100783991512
Glyco_hydro_47	PF01532	chr1	117948171	118065532	18	9.75580331032108e-05
Glyco_hydro_47	PF01532	chr1	117957334	118042174	18	9.75580331032108e-05
FMN_dh	PF01070	chr1	119923745	119936452	33	6.80917848308919
FCH	PF00611	chr1	143916305	144053606	5	2.27964843259768e-06
DUF1220	PF06758	chr1	144158201	144187632	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144158201	144182868	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144164542	144179646	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144164548	144180361	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144824728	145313506	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144824734	145314221	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144827900	145313506	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144827906	145314221	31	9.75580331032108e-05
Microtub_assoc	PF07989	chr1	144952675	144994688	5	0.0325964095227795
Microtub_assoc	PF07989	chr1	144952675	144994634	5	0.0325964095227795
DUF1220	PF06758	chr1	145315871	145368613	31	9.75580331032108e-05
DUF1220	PF06758	chr1	145315877	145368619	31	9.75580331032108e-05
DUF1220	PF06758	chr1	145320591	145368613	31	9.75580331032108e-05
DUF1220	PF06758	chr1	145355216	145362984	31	9.75580331032108e-05
DUF1220	PF06758	chr1	145358384	145359187	31	9.75580331032108e-05
FMO-like	PF00743	chr1	146658480	146696614	31	0.00823877791258101
FMO-like	PF00743	chr1	146661756	146696614	31	0.00823877791258101
FMO-like	PF00743	chr1	146661820	146696614	31	0.00823877791258101
DUF1220	PF06758	chr1	148010883	148270245	31	9.75580331032108e-05
Pro_isomerase	PF00160	chr1	149553090	149553570	12	1.82240333218664e-05
Sec1	PF00995	chr1	150039978	150116903	30	0.000393708410902564
Sec1	PF00995	chr1	150040702	150116903	30	0.000393708410902564
Sec1	PF00995	chr1	150049744	150116903	30	0.000393708410902564
Sec1	PF00995	chr1	150049747	150115017	30	0.000393708410902564
tRNA-synt_2b	PF00587	chr1	150463958	150471508	14	0.00127894245878223
tRNA-synt_2b	PF00587	chr1	150469355	150471508	14	0.00127894245878223
tRNA-synt_2b	PF00587	chr1	150470009	150471508	14	0.00127894245878223
tRNA-synt_2b	PF00587	chr1	150470174	150471508	14	0.00127894245878223
Endosulfine	PF04667	chr1	150598148	150601897	7	0.138968050866263
Endosulfine	PF04667	chr1	150599001	150601897	7	0.138968050866263
Endosulfine	PF04667	chr1	150599941	150601897	7	0.138968050866263
Inhibitor_I29	PF08246	chr1	150724483	150737157	1	2.27964843259768e-06
Inhibitor_I29	PF08246	chr1	150727610	150737157	1	2.27964843259768e-06
Hormone_recep	PF00104	chr1	151779988	151786056	23	2.27964843259768e-06
Hormone_recep	PF00104	chr1	151779988	151786056	23	2.27964843259768e-06
SK_channel	PF03530	chr1	154744736	154841635	10	1.29318976300548
SK_channel	PF03530	chr1	154744736	154832172	10	1.29318976300548
Ephrin	PF00812	chr1	155036363	155058609	8	0.00348887616987592
Ephrin	PF00812	chr1	155051496	155058894	8	0.00348887616987592
Ephrin	PF00812	chr1	155051496	155058609	8	0.00348887616987592
Bromodomain	PF00439	chr1	155317649	155322532	66	0.00823877791258101
RasGAP_C	PF03836	chr1	156498301	156500006	5	0.00127894245878223
Spectrin	PF00435	chr1	158596682	158604442	256	0.000393708410902564
V-set	PF07686	chr1	159907481	159913213	30	1.43145332025962e-07
Calsequestrin	PF01216	chr1	160160572	160171164	15	0.611100783991512
PID	PF00640	chr1	162040061	162313697	15	2.27964843259768e-06
PID	PF00640	chr1	162040061	162313697	15	2.27964843259768e-06
LIM	PF00412	chr1	165218866	165322472	20	2.27964843259768e-06
PRK	PF00485	chr1	165797134	165876926	8	0.0565734645986981
FMO-like	PF00743	chr1	166590054	166593918	31	0.00823877791258101
TIP41	PF04176	chr1	168153177	168169144	3	0.483162798595204
Na_K-ATPase	PF00287	chr1	169076068	169100776	18	0.0172418496560161
NDK	PF00334	chr1	169102036	169256576	12	9.75580331032108e-05
KAP	PF05804	chr1	169930198	170024572	37	13.7555123209849
KAP	PF05804	chr1	169930198	170024488	37	13.7555123209849
KAP	PF05804	chr1	169930198	170043580	37	13.7555123209849
KAP	PF05804	chr1	169930198	170008429	37	13.7555123209849
PH	PF00169	chr1	172100315	172277962	284	0.00823877791258101
RasGEF	PF00617	chr1	178753631	178846680	13	2.27964843259768e-06
LIM	PF00412	chr1	180217431	180235537	20	2.27964843259768e-06
SPX	PF03105	chr1	180601338	180775291	5	3.09748640305924
Ion_trans	PF00520	chr1	181480510	181620573	103	2.27964843259768e-06
Helicase_C	PF00271	chr1	182845392	182847265	12	1.43145332025962e-07
CTP_transf_2	PF01467	chr1	183221870	183387368	17	0.00348887616987592
CTP_transf_2	PF01467	chr1	183221870	183262928	17	0.00348887616987592
RA	PF00788	chr1	183885773	183895325	19	1.82240333218664e-05
ig	PF00047	chr1	185988723	185992237	9	1.82240333218664e-05
I-set	PF07679	chr1	185988726	185992282	956	0.0565734645986981
G2F	PF07474	chr1	186115052	186123032	15	2.5081793081383
PLA2_B	PF01735	chr1	186901904	186948512	26	0.200926939077681
RGS	PF00615	chr1	192129542	192153583	24	9.75580331032108e-05
CDC73	PF05179	chr1	193111164	193219822	31	52.8961951439269
BK_channel_a	PF03493	chr1	196309623	196367722	13	0.00348887616987592
BK_channel_a	PF03493	chr1	196342270	196367722	13	0.00348887616987592
dDENN	PF03455	chr1	197522226	197564420	10	0.00127894245878223
uDENN	PF03456	chr1	197641194	197742054	5	1.82240333218664e-05
uDENN	PF03456	chr1	197641194	197684201	5	1.82240333218664e-05
Y_phosphatase	PF00102	chr1	198701483	198713219	62	1.82240333218664e-05
zf-C4	PF00105	chr1	200012949	200017314	15	1.82240333218664e-05
LIM	PF00412	chr1	201453893	201458038	20	2.27964843259768e-06
LIM	PF00412	chr1	201453893	201458038	20	2.27964843259768e-06
Arf	PF00025	chr1	202103611	202113681	14	2.27964843259768e-06
Arf	PF00025	chr1	202104347	202113681	14	2.27964843259768e-06
Miro	PF08477	chr1	202104626	202113636	10	9.75580331032108e-05
JmjN	PF02375	chr1	202746194	202777336	1	2.27964843259768e-06
Hydrolase	PF00702	chr1	203680198	203689689	33	9.75580331032108e-05
Pkinase	PF00069	chr1	205116783	205129392	283	2.27964843259768e-06
Pkinase	PF00069	chr1	205119813	205129392	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	205119882	205128676	1522	3.41277051625166
C1_1	PF00130	chr1	206681302	206711563	14	1.82240333218664e-05
Sushi	PF00084	chr1	207874872	207881605	211	0.00127894245878223
PSI	PF01437	chr1	208272240	208276570	11	9.75580331032108e-05
Ion_trans_2	PF07885	chr1	210977457	211093167	13	9.75580331032108e-05
Ion_trans	PF00520	chr1	210977475	211192402	103	2.27964843259768e-06
Ion_trans	PF00520	chr1	210977475	211192402	103	2.27964843259768e-06
B56	PF01603	chr1	212459615	212534041	19	0.000393708410902564
PX	PF00787	chr1	213224771	213290665	18	2.27964843259768e-06
PX	PF00787	chr1	213224771	213290665	18	2.27964843259768e-06
Ion_trans_2	PF07885	chr1	215345400	215368412	13	9.75580331032108e-05
fn3	PF00041	chr1	215853612	215901520	610	0.00823877791258101
Laminin_G_2	PF02210	chr1	216258162	216270540	98	0.000393708410902564
Laminin_G_1	PF00054	chr1	216258171	216270540	43	0.278450517967822
Laminin_EGF	PF00053	chr1	216390887	216405436	74	0.00127894245878223
zf-C4	PF00105	chr1	216741425	216824344	15	1.82240333218664e-05
zf-C4	PF00105	chr1	216741425	216850513	15	1.82240333218664e-05
zf-C4	PF00105	chr1	216741437	216850513	15	1.82240333218664e-05
Rhodanese	PF00581	chr1	221879781	221912569	8	1.82240333218664e-05
Calpain_III	PF01067	chr1	223718181	223807066	13	9.75580331032108e-05
Cornichon	PF03311	chr1	224804892	224927032	10	0.0913798565675432
DHC_N2	PF08393	chr1	225268273	225328434	29	9.75580331032108e-05
Dynein_heavy	PF03028	chr1	225569111	225576168	54	9.75580331032108e-05
WH1	PF00568	chr1	225742631	225840391	11	0.000393708410902564
Pkinase	PF00069	chr1	227333302	227441805	283	2.27964843259768e-06
COG2	PF06148	chr1	230778353	230829137	6	2.7958340057698
COG2	PF06148	chr1	230778353	230829137	6	2.7958340057698
COG2	PF06148	chr1	230800230	230829137	6	2.7958340057698
COG2	PF06148	chr1	230814659	230829137	6	2.7958340057698
fn3	PF00041	chr1	231339612	231342509	610	0.00823877791258101
G2F	PF07474	chr1	236189300	236201406	15	2.5081793081383
RYDR_ITPR	PF01365	chr1	237617749	237659815	49	0.372361329399178
SPRY	PF00622	chr1	237755145	237774062	48	9.75580331032108e-05
RIH_assoc	PF08454	chr1	237880567	237944865	18	0.611100783991512
RIH_assoc	PF08454	chr1	237890474	237944865	18	0.611100783991512
FH2	PF02181	chr1	240371962	240601470	44	0.000393708410902564
FH2	PF02181	chr1	240408863	240601470	44	0.000393708410902564
FH2	PF02181	chr1	240421245	240555813	44	0.000393708410902564
DAO	PF01266	chr1	241695772	241712198	19	1.82240333218664e-05
Pkinase	PF00069	chr1	243708846	243801031	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	243716118	243801031	1522	3.41277051625166
PH	PF00169	chr1	243809301	244006456	284	0.00823877791258101
Adenylsucc_synt	PF00709	chr1	244572895	244615031	13	0.138968050866263
zf-MYND	PF01753	chr1	246498742	246670374	4	9.75580331032108e-05
7tm_1	PF00001	chr1	69190	69931	53	1.43145332025962e-07
7tm_1	PF00001	chr1	367779	368418	53	1.43145332025962e-07
7tm_1	PF00001	chr1	621274	621913	53	1.43145332025962e-07
SAM_2	PF07647	chr1	878686	879309	13	9.75580331032108e-05
SAM_2	PF07647	chr1	878686	879294	13	9.75580331032108e-05
SAM_2	PF07647	chr1	878686	879180	13	9.75580331032108e-05
SAM_1	PF00536	chr1	878689	879303	17	1.82240333218664e-05
SAM_1	PF00536	chr1	878689	879204	17	1.82240333218664e-05
SAM_1	PF00536	chr1	878689	879180	17	1.82240333218664e-05
Noc2	PF03715	chr1	881599	888583	10	4.80330449448222
Noc2	PF03715	chr1	881599	881927	10	4.80330449448222
BTB	PF00651	chr1	896809	897284	15	1.43145332025962e-07
BTB	PF00651	chr1	897014	897284	15	1.43145332025962e-07
BACK	PF07707	chr1	897296	898144	14	2.27964843259768e-06
BACK	PF07707	chr1	897296	897431	14	2.27964843259768e-06
Kelch_1	PF01344	chr1	898246	898575	34	9.75580331032108e-05
Kelch_2	PF07646	chr1	898578	898799	3	0.00127894245878223
Kelch_1	PF01344	chr1	898578	898799	34	9.75580331032108e-05
Kelch_2	PF07646	chr1	898802	899355	3	0.00127894245878223
Kelch_1	PF01344	chr1	898802	899355	34	9.75580331032108e-05
Kelch_2	PF07646	chr1	899358	899762	3	0.00127894245878223
Kelch_1	PF01344	chr1	899358	899762	34	9.75580331032108e-05
Kelch_2	PF07646	chr1	899765	899903	3	0.00127894245878223
Kelch_1	PF01344	chr1	899765	899903	34	9.75580331032108e-05
Kelch_2	PF07646	chr1	899906	900476	3	0.00127894245878223
Kelch_1	PF01344	chr1	899906	900476	34	9.75580331032108e-05
PH	PF00169	chr1	905910	906345	284	0.00823877791258101
Hairy_orange	PF07527	chr1	934647	934782	8	0.0565734645986981
HLH	PF00010	chr1	934920	935250	13	2.27964843259768e-06
HLH	PF00010	chr1	934920	935172	13	2.27964843259768e-06
ubiquitin	PF00240	chr1	949382	949595	37	0.000393708410902564
ubiquitin	PF00240	chr1	949619	949826	37	0.000393708410902564
NtA	PF03146	chr1	955640	970665	0	1.43145332025962e-07
Kazal_2	PF07648	chr1	976119	976260	29	0.0172418496560161
Kazal_1	PF00050	chr1	976122	976260	6	9.75580331032108e-05
Kazal_2	PF07648	chr1	976636	976777	29	0.0172418496560161
